ID_Punktu,Nazwa_Stacji,Adres,Latitude,Longitude,Handlowiec,Status,Ostatnia_Aktualizacja,Notatki
ORL-PL-1119292075,Orlen,"Stacja Orlen, Polska (współrzędne: 53.09482, 21.59443)",53.094823,21.594427,,Do zrobienia,,
ORL-PL-1140958910,Orlen,"Stacja Orlen, Polska (współrzędne: 49.53743, 22.22426)",49.537432,22.224263,,Do zrobienia,,
ORL-PL-1148651965,Orlen nr 4031,"Stacja Orlen, Polska (współrzędne: 49.80815, 19.05554)",49.808150,19.055540,,Do zrobienia,,
ORL-PL-1163874906,Orlen,"Stacja Orlen, Polska (współrzędne: 51.74039, 19.42081)",51.740394,19.420813,,Do zrobienia,,
ORL-PL-1165685345,Orlen,"ul. Lotnicza 11, Wrocław",51.128071,16.977136,,Do zrobienia,,
ORL-PL-1167162800,Orlen nr 648,"ul. Muchoborska 9, 54-424 Wrocław",51.109121,16.969936,,Do zrobienia,,
ORL-PL-1169037765,Orlen,"ul. Żmigrodzka 116, Wrocław",51.145978,17.029365,,Do zrobienia,,
ORL-PL-1174475270,Orlen,"Stacja Orlen, Polska (współrzędne: 52.10049, 20.61212)",52.100488,20.612120,,Do zrobienia,,
ORL-PL-1175552474,Orlen,"Stacja Orlen, Polska (współrzędne: 49.75636, 20.74841)",49.756362,20.748406,,Do zrobienia,,
ORL-PL-1204181364,Orlen,"Stacja Orlen, Polska (współrzędne: 51.46827, 16.90694)",51.468275,16.906943,,Do zrobienia,,
ORL-PL-1204181417,Orlen nr 7143,"Stacja Orlen, Polska (współrzędne: 51.48018, 16.91471)",51.480183,16.914710,,Do zrobienia,,
ORL-PL-1207469347,Orlen,"ul. Krakowska 198, 38-500 Sanok",49.569831,22.153294,,Do zrobienia,,
ORL-PL-1229573786,Orlen,"Stacja Orlen, Polska (współrzędne: 51.90125, 19.60608)",51.901246,19.606079,,Do zrobienia,,
ORL-PL-1231020786,"Orlen (Stacja Paliw ""Wygoda"")","Stacja Orlen, Polska (współrzędne: 49.99561, 20.06458)",49.995613,20.064582,,Do zrobienia,,
ORL-PL-1236085306,Orlen nr 4016,"ul. Inowrocławska 4a, 88-140 Gniewkowo",52.892738,18.401538,,Do zrobienia,,
ORL-PL-1237711412,Orlen nr 4073,59-300,51.385163,16.198004,,Do zrobienia,,
ORL-PL-1238299428,Orlen nr 7773,"ul. Mostowa 11А, 18-100 Łapy",52.996572,22.892942,,Do zrobienia,,
ORL-PL-1240625214,Orlen,"Stacja Orlen, Polska (współrzędne: 53.44679, 14.55118)",53.446794,14.551176,,Do zrobienia,,
ORL-PL-1241039653,Orlen,"ul. Radowska 27, 69-110 Kowalów",52.405279,14.761829,,Do zrobienia,,
ORL-PL-1242491595,Orlen,"ul. Hilarego Filasiewicza 2, Cieszyn",49.756177,18.638836,,Do zrobienia,,
ORL-PL-1254616835,Orlen,"ul. Rawicka 2, 54-041 Wrocław",51.144300,16.882914,,Do zrobienia,,
ORL-PL-1256658699,Orlen,"Stacja Orlen, Polska (współrzędne: 50.08799, 20.00551)",50.087987,20.005514,,Do zrobienia,,
ORL-PL-1268943107,Orlen nr 4058,"Stacja Orlen, Polska (współrzędne: 52.32748, 17.09167)",52.327483,17.091666,,Do zrobienia,,
ORL-PL-1281855896,Orlen,"ul. Krakowska 86, 32-590 Libiąż",50.093109,19.298747,,Do zrobienia,,
ORL-PL-1290311520,Orlen,"Stacja Orlen, Polska (współrzędne: 50.46673, 17.20088)",50.466728,17.200875,,Do zrobienia,,
ORL-PL-1298355570,Orlen nr 1491,"Stacja Orlen, Polska (współrzędne: 52.52493, 18.25842)",52.524927,18.258423,,Do zrobienia,,
ORL-PL-1299745157,Orlen,"Stacja Orlen, Polska (współrzędne: 53.99871, 15.99127)",53.998715,15.991269,,Do zrobienia,,
ORL-PL-1314576809,Orlen nr 7319,"Stacja Orlen, Polska (współrzędne: 50.79612, 21.32464)",50.796116,21.324637,,Do zrobienia,,
ORL-PL-1322856359,Orlen,"Stacja Orlen, Polska (współrzędne: 51.27531, 16.70841)",51.275315,16.708411,,Do zrobienia,,
ORL-PL-1326558991,Orlen nr 4138,"Stacja Orlen, Polska (współrzędne: 52.29846, 15.25203)",52.298462,15.252031,,Do zrobienia,,
ORL-PL-1332102173,Orlen,"Stacja Orlen, Polska (współrzędne: 53.65419, 23.34931)",53.654186,23.349305,,Do zrobienia,,
ORL-PL-1337452297,Orlen,"ul. Trakt Węgierski 3, 38-450 Dukla",49.565596,21.691299,,Do zrobienia,,
ORL-PL-1341978193,Orlen,"Stacja Orlen, Polska (współrzędne: 53.90706, 19.73483)",53.907060,19.734831,,Do zrobienia,,
ORL-PL-1342957035,Orlen,"Stacja Orlen, Polska (współrzędne: 52.99994, 21.93035)",52.999943,21.930350,,Do zrobienia,,
ORL-PL-1346180095,Orlen,"ul. Władysława IV 135, 75-342 Koszalin",54.211481,16.181126,,Do zrobienia,,
ORL-PL-1357183516,Orlen,"Stacja Orlen, Polska (współrzędne: 53.75858, 20.48745)",53.758577,20.487453,,Do zrobienia,,
ORL-PL-1357299269,Orlen,"Stacja Orlen, Polska (współrzędne: 54.58074, 16.86263)",54.580737,16.862632,,Do zrobienia,,
ORL-PL-1363710634,Orlen nr 449,"Stacja Orlen, Polska (współrzędne: 51.80064, 19.48844)",51.800635,19.488443,,Do zrobienia,,
ORL-PL-1364465036,Orlen nr 1059,"ul. Bydgoska 43, 89-210 Łabiszyn",52.955763,17.922518,,Do zrobienia,,
ORL-PL-1371167700,Orlen nr 130,"Stacja Orlen, Polska (współrzędne: 50.82708, 15.52316)",50.827084,15.523164,,Do zrobienia,,
ORL-PL-1380066202,Orlen,"Stacja Orlen, Polska (współrzędne: 54.02245, 14.75138)",54.022446,14.751385,,Do zrobienia,,
ORL-PL-1382097983,Orlen,"Stacja Orlen, Polska (współrzędne: 50.29792, 18.83096)",50.297916,18.830956,,Do zrobienia,,
ORL-PL-1385329959,Orlen,"Stacja Orlen, Polska (współrzędne: 53.94795, 15.53582)",53.947953,15.535821,,Do zrobienia,,
