OSM_ID,OSM_Type,SP,Nazwa,Adres,Latitude,Longitude,OSM_Version
371765663,way,,Orlen,"współrzędne: 51.52529, 15.79547",51.525291,15.795469,
371900330,way,,Orlen,"współrzędne: 51.61410, 15.30607",51.614102,15.306071,
372079966,way,,Orlen,"współrzędne: 51.78965, 21.17986",51.789652,21.179858,
375833184,way,,Orlen,"ul. Generała Stanisława Maczka 47, Białystok",53.159072,23.117979,
376828913,way,,Orlen,"współrzędne: 51.66234, 16.56727",51.662337,16.567275,
379922068,way,,Orlen,"ul. Szczecińska 25, 73-108 Morzyczyn",53.352953,14.914114,
380883790,way,,Orlen,"współrzędne: 52.25669, 21.00728",52.256686,21.007282,
382229129,way,,Orlen,"współrzędne: 52.61271, 18.91037",52.612712,18.910368,
383601126,way,,Orlen,"ul. Nakielska 86, 85-358 Bydgoszcz",53.132018,17.946076,
383645918,way,,Orlen,"ul. Krakowska 86, 33-300 Nowy Sącz",49.630245,20.669821,
387812310,way,,Orlen,"ul. Aleja Solidarności 2, 83-110 Tczew",54.074541,18.777220,
388497476,way,,Pieprzyk,"ul. Częstochowska 22c, 42-130 Wręczyca Wielka",50.841891,18.930322,
391307947,way,,Orlen,"ul. Aleja Krakowska 25, 05-555 Tarczyn",51.987564,20.845627,
391815495,way,,Orlen,"współrzędne: 53.16021, 21.93117",53.160210,21.931172,
392487572,way,,Orlen,"współrzędne: 54.46678, 17.05494",54.466783,17.054945,
394689322,way,,Orlen,"ul. Dobczycka 27, 32-020 Wieliczka",49.972886,20.061591,
395439888,way,,Orlen,"ul. Mszczonowska 44, 05-600 Grójec",51.868435,20.852171,
395581127,way,,Orlen,"współrzędne: 53.27960, 18.93517",53.279599,18.935167,
397005343,way,,Orlen,"współrzędne: 51.11410, 23.52092",51.114098,23.520923,
397122318,way,,Orlen,"współrzędne: 52.25148, 20.97999",52.251482,20.979988,
398022298,way,,Orlen,"współrzędne: 49.91669, 20.19145",49.916690,20.191445,
401805644,way,,Orlen,"współrzędne: 49.50412, 19.99411",49.504118,19.994113,
402787339,way,,Orlen,"współrzędne: 52.20147, 21.03450",52.201467,21.034499,
405070294,way,,Orlen,"współrzędne: 50.84746, 19.04513",50.847463,19.045130,
409738018,way,,Orlen,"współrzędne: 51.05535, 18.43512",51.055355,18.435118,
