ID_Punktu,Nazwa_Stacji,Adres,Latitude,Longitude,Handlowiec,Status,Ostatnia_Aktualizacja,Notatki,Audyt
ORL-PL-4015,Orlen nr 4015 (Mogilno),"ul. Kościuszki 38 b, 88-300 Mogilno",52.650058,17.948083,,Do zrobienia,,,Nie
ORL-PL-4016,Orlen nr 4016 (Gniewkowo),"ul. Inowrocławska 4a, 88-140 Gniewkowo",52.892738,18.401538,,Do zrobienia,,,Tak
ORL-PL-4017,Orlen nr 4017 (Pniewy),"ul. Jakubowska 36, 62-045 Pniewy",52.498802,16.273250,,Do zrobienia,,,Nie
ORL-PL-4018,Orlen nr 4018 (Legnica),"ul. Jaworzyńska 238, 59-220 Legnica",51.823800,18.554821,,Do zrobienia,,,Tak
ORL-PL-4019,Orlen nr 4019 (Płock),"ul. Wyszogrodzka 123, 09-409 Płock",52.538504,19.747838,,Do zrobienia,,,Tak
ORL-PL-4020,Orlen nr 4020 (Płock),"ul. Łukasiewicza 15, 09-400 Płock",52.558961,19.680890,,Do zrobienia,,,Nie
ORL-PL-4021,Orlen nr 4021 (Głuchołazy),"ul. Grunwaldzka 7a, 48-340 Głuchołazy",50.320661,17.387654,,Do zrobienia,,,Nie
ORL-PL-4022,Orlen nr 4022 (Katowice),"ul. Bocheńskiego 64, 40-847 Katowice",51.675896,18.920100,,Do zrobienia,,,Tak
ORL-PL-4023,Orlen nr 4023 (Lubieszyn),"11b, 72-002 Lubieszyn",53.452448,14.380073,,Do zrobienia,,,Nie
ORL-PL-4024,Orlen nr 4024 (Cieszyn),"ul. Stawowa 58, 43-400 Cieszyn",49.756177,18.638836,,Do zrobienia,,,Nie
ORL-PL-4025,Orlen nr 4025 (Zielona Góra),"ul. Osiedle Pomorskie 5G, 65-077 Zielona Góra",51.938192,15.556845,,Do zrobienia,,,Tak
ORL-PL-4029,Orlen nr 4029 (Aleksandrów Łódzki),"ul. Konstantynowska 17, 95-070 Aleksandrów Łódzki",52.139507,18.952171,,Do zrobienia,,,Tak
ORL-PL-4030,Orlen nr 4030 (Głowno),"ul. Łódzka 8, 95-015 Głowno",51.956559,19.701750,,Do zrobienia,,,Tak
ORL-PL-4031,Orlen nr 4031 (Bielsko-Biała),"ul. Żywiecka 88, 43-300 Bielsko-Biała",49.808150,19.055540,,Do zrobienia,,,Nie
ORL-PL-4032,Orlen nr 4032 (Płock),"ul. Kolejowa 46, 09-400 Płock",52.563839,19.659592,,Do zrobienia,,,Nie
ORL-PL-4033,Orlen nr 4033 (Gostynin),"ul. Płocka 44, 09-500 Gostynin",52.437627,19.470909,,Do zrobienia,,,Nie
ORL-PL-4037,Orlen nr 4037 (Osiecza Druga),"A2 - Osiecza Północna MOP II 41B, 62-586 Osiecza Druga",52.180020,18.124873,,Do zrobienia,,,Nie
